match_id,match_date,kick_off,competition_id,competition_name,season_id,season_name,competition_stage,match_week,team,opponent,is_home,team_score,opponent_score,goal_difference,result,points,events,possessions,passes,completed_passes,progressive_passes,final_third_entries,box_entries,crosses,completed_crosses,through_balls,switches,key_passes,assists,carries,progressive_carries,shots,shots_on_target,penalty_shots,goals_from_shots,own_goals_for,own_goals_against,xg,non_penalty_xg,open_play_xg,set_piece_xg,penalty_xg,free_kick_xg,headers,pressures,counterpressures,ball_recoveries,interceptions,clearances,blocks,duels,duels_won,dribbles,successful_dribbles,fouls_committed,fouls_won,miscontrols,dispossessed,goalkeeper_events,substitutions,opponent_events,opponent_possessions,opponent_passes,opponent_completed_passes,opponent_progressive_passes,opponent_final_third_entries,opponent_box_entries,opponent_crosses,opponent_completed_crosses,opponent_through_balls,opponent_switches,opponent_key_passes,opponent_assists,opponent_carries,opponent_progressive_carries,opponent_shots,opponent_shots_on_target,opponent_penalty_shots,opponent_goals_from_shots,opponent_own_goals_for,opponent_own_goals_against,opponent_xg,opponent_non_penalty_xg,opponent_open_play_xg,opponent_set_piece_xg,opponent_penalty_xg,opponent_free_kick_xg,opponent_headers,opponent_pressures,opponent_counterpressures,opponent_ball_recoveries,opponent_interceptions,opponent_clearances,opponent_blocks,opponent_duels,opponent_duels_won,opponent_dribbles,opponent_successful_dribbles,opponent_fouls_committed,opponent_fouls_won,opponent_miscontrols,opponent_dispossessed,opponent_goalkeeper_events,opponent_substitutions,pass_completion_rate,cross_completion_rate,shots_on_target_rate,xg_per_shot,non_penalty_xg_per_shot,dribble_success_rate,duel_win_rate,xg_difference,non_penalty_xg_difference,shot_difference,pressure_difference,final_third_entry_difference,box_entry_difference
3857258,2022-11-24,19:00:00.000,43,FIFA World Cup,106,2022,Group Stage,1,Brazil,Serbia,True,2,0,2,win,3,2101.0,91.0,618.0,539.0,59.0,75.0,18.0,16.0,2.0,3.0,13.0,12.0,1.0,547.0,33.0,23.0,9.0,0.0,2.0,0.0,0.0,2.1238895187000004,2.1238895187000004,1.7347272037,0.389162315,0.0,0.06281959,1.0,102.0,36.0,56.0,8.0,22.0,16.0,39.0,9.0,22.0,11.0,8.0,11.0,17.0,10.0,7.0,5.0,1555.0,79.0,446.0,351.0,63.0,41.0,1.0,8.0,1.0,0.0,14.0,3.0,0.0,341.0,18.0,5.0,0.0,0.0,0.0,0.0,0.0,0.16332714399999998,0.16332714399999998,0.026318645,0.137008499,0.0,0.0,2.0,147.0,32.0,36.0,11.0,19.0,19.0,33.0,10.0,10.0,4.0,11.0,7.0,13.0,12.0,26.0,5.0,0.872168284789644,0.125,0.391304347826087,0.09234302255217393,0.09234302255217393,0.5,0.23076923076923078,1.9605623747000005,1.9605623747000005,18.0,-45.0,34.0,17.0
3857258,2022-11-24,19:00:00.000,43,FIFA World Cup,106,2022,Group Stage,1,Serbia,Brazil,False,0,2,-2,loss,0,1555.0,79.0,446.0,351.0,63.0,41.0,1.0,8.0,1.0,0.0,14.0,3.0,0.0,341.0,18.0,5.0,0.0,0.0,0.0,0.0,0.0,0.16332714399999998,0.16332714399999998,0.026318645,0.137008499,0.0,0.0,2.0,147.0,32.0,36.0,11.0,19.0,19.0,33.0,10.0,10.0,4.0,11.0,7.0,13.0,12.0,26.0,5.0,2101.0,91.0,618.0,539.0,59.0,75.0,18.0,16.0,2.0,3.0,13.0,12.0,1.0,547.0,33.0,23.0,9.0,0.0,2.0,0.0,0.0,2.1238895187000004,2.1238895187000004,1.7347272037,0.389162315,0.0,0.06281959,1.0,102.0,36.0,56.0,8.0,22.0,16.0,39.0,9.0,22.0,11.0,8.0,11.0,17.0,10.0,7.0,5.0,0.7869955156950673,0.125,0.0,0.03266542879999999,0.03266542879999999,0.4,0.30303030303030304,-1.9605623747000005,-1.9605623747000005,-18.0,45.0,-34.0,-17.0
3857287,2022-11-24,13:00:00.000,43,FIFA World Cup,106,2022,Group Stage,1,South Korea,Uruguay,False,0,0,0,draw,1,1578.0,77.0,463.0,351.0,80.0,44.0,7.0,7.0,1.0,1.0,16.0,7.0,0.0,373.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0,0.492992523,0.492992523,0.0,0.492992523,0.0,0.0,0.0,103.0,48.0,42.0,13.0,20.0,11.0,47.0,10.0,13.0,3.0,11.0,7.0,12.0,7.0,14.0,3.0,1884.0,78.0,570.0,475.0,90.0,57.0,8.0,13.0,5.0,0.0,16.0,8.0,0.0,439.0,17.0,10.0,1.0,0.0,0.0,0.0,0.0,0.417294332,0.417294332,0.121534327,0.295760005,0.0,0.0,4.0,102.0,36.0,37.0,17.0,31.0,20.0,40.0,13.0,14.0,5.0,7.0,11.0,15.0,7.0,10.0,4.0,0.7580993520518359,0.14285714285714285,0.0,0.07042750328571429,0.07042750328571429,0.23076923076923078,0.2127659574468085,0.07569819100000003,0.07569819100000003,-3.0,1.0,-13.0,-1.0
3857287,2022-11-24,13:00:00.000,43,FIFA World Cup,106,2022,Group Stage,1,Uruguay,South Korea,True,0,0,0,draw,1,1884.0,78.0,570.0,475.0,90.0,57.0,8.0,13.0,5.0,0.0,16.0,8.0,0.0,439.0,17.0,10.0,1.0,0.0,0.0,0.0,0.0,0.417294332,0.417294332,0.121534327,0.295760005,0.0,0.0,4.0,102.0,36.0,37.0,17.0,31.0,20.0,40.0,13.0,14.0,5.0,7.0,11.0,15.0,7.0,10.0,4.0,1578.0,77.0,463.0,351.0,80.0,44.0,7.0,7.0,1.0,1.0,16.0,7.0,0.0,373.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0,0.492992523,0.492992523,0.0,0.492992523,0.0,0.0,0.0,103.0,48.0,42.0,13.0,20.0,11.0,47.0,10.0,13.0,3.0,11.0,7.0,12.0,7.0,14.0,3.0,0.8333333333333334,0.38461538461538464,0.1,0.0417294332,0.0417294332,0.35714285714285715,0.325,-0.07569819100000003,-0.07569819100000003,3.0,-1.0,13.0,1.0
3857290,2022-11-24,10:00:00.000,43,FIFA World Cup,106,2022,Group Stage,1,Cameroon,Switzerland,False,0,1,-1,loss,0,1772.0,82.0,533.0,440.0,86.0,50.0,8.0,14.0,2.0,1.0,21.0,5.0,0.0,425.0,26.0,8.0,5.0,0.0,0.0,0.0,0.0,0.6130733495,0.6130733495,0.2792996465,0.333773703,0.0,0.0,2.0,145.0,52.0,52.0,15.0,19.0,15.0,33.0,5.0,11.0,9.0,10.0,13.0,13.0,13.0,9.0,4.0,1829.0,87.0,549.0,461.0,71.0,50.0,6.0,13.0,3.0,8.0,15.0,6.0,1.0,404.0,31.0,7.0,3.0,0.0,1.0,0.0,0.0,1.426544536,1.426544536,0.060987956,1.36555658,0.0,0.0,2.0,143.0,52.0,33.0,8.0,28.0,8.0,29.0,7.0,2.0,1.0,14.0,10.0,13.0,10.0,13.0,5.0,0.8255159474671669,0.14285714285714285,0.625,0.0766341686875,0.0766341686875,0.8181818181818182,0.15151515151515152,-0.8134711864999999,-0.8134711864999999,1.0,2.0,0.0,2.0
3857290,2022-11-24,10:00:00.000,43,FIFA World Cup,106,2022,Group Stage,1,Switzerland,Cameroon,True,1,0,1,win,3,1829.0,87.0,549.0,461.0,71.0,50.0,6.0,13.0,3.0,8.0,15.0,6.0,1.0,404.0,31.0,7.0,3.0,0.0,1.0,0.0,0.0,1.426544536,1.426544536,0.060987956,1.36555658,0.0,0.0,2.0,143.0,52.0,33.0,8.0,28.0,8.0,29.0,7.0,2.0,1.0,14.0,10.0,13.0,10.0,13.0,5.0,1772.0,82.0,533.0,440.0,86.0,50.0,8.0,14.0,2.0,1.0,21.0,5.0,0.0,425.0,26.0,8.0,5.0,0.0,0.0,0.0,0.0,0.6130733495,0.6130733495,0.2792996465,0.333773703,0.0,0.0,2.0,145.0,52.0,52.0,15.0,19.0,15.0,33.0,5.0,11.0,9.0,10.0,13.0,13.0,13.0,9.0,4.0,0.8397085610200364,0.23076923076923078,0.42857142857142855,0.20379207657142856,0.20379207657142856,0.5,0.2413793103448276,0.8134711864999999,0.8134711864999999,-1.0,-2.0,0.0,-2.0
3857298,2022-11-24,16:00:00.000,43,FIFA World Cup,106,2022,Group Stage,1,Ghana,Portugal,False,2,3,-1,loss,0,1567.0,91.0,415.0,336.0,71.0,33.0,3.0,7.0,1.0,1.0,5.0,6.0,0.0,339.0,14.0,9.0,3.0,0.0,2.0,0.0,0.0,0.7800233097,0.7800233097,0.5278965449999999,0.2521267647,0.0,0.0,2.0,140.0,65.0,46.0,12.0,13.0,16.0,47.0,15.0,15.0,12.0,20.0,15.0,11.0,19.0,13.0,5.0,2171.0,94.0,665.0,576.0,55.0,63.0,16.0,13.0,3.0,4.0,16.0,6.0,2.0,521.0,23.0,11.0,5.0,1.0,3.0,0.0,0.0,2.0968733929999996,1.313373393,0.956419636,0.35695375700000004,0.7835,0.0,1.0,110.0,75.0,39.0,3.0,18.0,12.0,31.0,17.0,11.0,4.0,15.0,20.0,10.0,14.0,13.0,5.0,0.8096385542168675,0.14285714285714285,0.3333333333333333,0.08666925663333333,0.08666925663333333,0.8,0.3191489361702128,-1.3168500832999996,-0.5333500833,-2.0,30.0,-30.0,-13.0
3857298,2022-11-24,16:00:00.000,43,FIFA World Cup,106,2022,Group Stage,1,Portugal,Ghana,True,3,2,1,win,3,2171.0,94.0,665.0,576.0,55.0,63.0,16.0,13.0,3.0,4.0,16.0,6.0,2.0,521.0,23.0,11.0,5.0,1.0,3.0,0.0,0.0,2.0968733929999996,1.313373393,0.956419636,0.35695375700000004,0.7835,0.0,1.0,110.0,75.0,39.0,3.0,18.0,12.0,31.0,17.0,11.0,4.0,15.0,20.0,10.0,14.0,13.0,5.0,1567.0,91.0,415.0,336.0,71.0,33.0,3.0,7.0,1.0,1.0,5.0,6.0,0.0,339.0,14.0,9.0,3.0,0.0,2.0,0.0,0.0,0.7800233097,0.7800233097,0.5278965449999999,0.2521267647,0.0,0.0,2.0,140.0,65.0,46.0,12.0,13.0,16.0,47.0,15.0,15.0,12.0,20.0,15.0,11.0,19.0,13.0,5.0,0.8661654135338346,0.23076923076923078,0.45454545454545453,0.19062485390909087,0.1313373393,0.36363636363636365,0.5483870967741935,1.3168500832999996,0.5333500833,2.0,-30.0,30.0,13.0
3857272,2022-11-25,19:00:00.000,43,FIFA World Cup,106,2022,Group Stage,2,England,United States,True,0,0,0,draw,1,1885.0,67.0,582.0,500.0,77.0,53.0,12.0,10.0,3.0,0.0,27.0,6.0,0.0,453.0,18.0,8.0,3.0,0.0,0.0,0.0,0.0,0.460638346,0.460638346,0.0710417,0.389596646,0.0,0.0,3.0,103.0,40.0,29.0,7.0,20.0,21.0,19.0,5.0,13.0,8.0,11.0,15.0,9.0,10.0,12.0,3.0,1634.0,71.0,456.0,377.0,60.0,38.0,11.0,8.0,4.0,0.0,8.0,9.0,0.0,369.0,27.0,10.0,1.0,0.0,0.0,0.0,0.0,0.514287002,0.514287002,0.17113286,0.343154142,0.0,0.0,2.0,157.0,32.0,38.0,4.0,16.0,23.0,36.0,9.0,10.0,8.0,16.0,11.0,13.0,7.0,13.0,4.0,0.8591065292096219,0.3,0.375,0.05757979325,0.05757979325,0.6153846153846154,0.2631578947368421,-0.05364865600000002,-0.05364865600000002,-2.0,-54.0,15.0,1.0
3857272,2022-11-25,19:00:00.000,43,FIFA World Cup,106,2022,Group Stage,2,United States,England,False,0,0,0,draw,1,1634.0,71.0,456.0,377.0,60.0,38.0,11.0,8.0,4.0,0.0,8.0,9.0,0.0,369.0,27.0,10.0,1.0,0.0,0.0,0.0,0.0,0.514287002,0.514287002,0.17113286,0.343154142,0.0,0.0,2.0,157.0,32.0,38.0,4.0,16.0,23.0,36.0,9.0,10.0,8.0,16.0,11.0,13.0,7.0,13.0,4.0,1885.0,67.0,582.0,500.0,77.0,53.0,12.0,10.0,3.0,0.0,27.0,6.0,0.0,453.0,18.0,8.0,3.0,0.0,0.0,0.0,0.0,0.460638346,0.460638346,0.0710417,0.389596646,0.0,0.0,3.0,103.0,40.0,29.0,7.0,20.0,21.0,19.0,5.0,13.0,8.0,11.0,15.0,9.0,10.0,12.0,3.0,0.8267543859649122,0.5,0.1,0.0514287002,0.0514287002,0.8,0.25,0.05364865600000002,0.05364865600000002,2.0,54.0,-15.0,-1.0
3857273,2022-11-25,10:00:00.000,43,FIFA World Cup,106,2022,Group Stage,2,Iran,Wales,False,2,0,2,win,3,1255.0,78.0,363.0,227.0,97.0,39.0,13.0,19.0,2.0,4.0,15.0,12.0,1.0,233.0,23.0,21.0,6.0,0.0,2.0,0.0,0.0,1.4539579476000002,1.4539579476000002,0.998539043,0.4554189046,0.0,0.0,2.0,161.0,50.0,57.0,15.0,16.0,20.0,44.0,11.0,10.0,4.0,10.0,9.0,10.0,5.0,13.0,5.0,1878.0,96.0,559.0,438.0,93.0,47.0,6.0,13.0,5.0,5.0,25.0,7.0,0.0,412.0,25.0,10.0,3.0,0.0,0.0,0.0,0.0,0.6156351910000001,0.6156351910000001,0.331753552,0.283881639,0.0,0.0,1.0,90.0,48.0,63.0,10.0,35.0,26.0,26.0,3.0,17.0,6.0,9.0,10.0,18.0,11.0,25.0,4.0,0.6253443526170799,0.10526315789473684,0.2857142857142857,0.06923609274285715,0.06923609274285715,0.4,0.25,0.8383227566000001,0.8383227566000001,11.0,71.0,-8.0,7.0
3857273,2022-11-25,10:00:00.000,43,FIFA World Cup,106,2022,Group Stage,2,Wales,Iran,True,0,2,-2,loss,0,1878.0,96.0,559.0,438.0,93.0,47.0,6.0,13.0,5.0,5.0,25.0,7.0,0.0,412.0,25.0,10.0,3.0,0.0,0.0,0.0,0.0,0.6156351910000001,0.6156351910000001,0.331753552,0.283881639,0.0,0.0,1.0,90.0,48.0,63.0,10.0,35.0,26.0,26.0,3.0,17.0,6.0,9.0,10.0,18.0,11.0,25.0,4.0,1255.0,78.0,363.0,227.0,97.0,39.0,13.0,19.0,2.0,4.0,15.0,12.0,1.0,233.0,23.0,21.0,6.0,0.0,2.0,0.0,0.0,1.4539579476000002,1.4539579476000002,0.998539043,0.4554189046,0.0,0.0,2.0,161.0,50.0,57.0,15.0,16.0,20.0,44.0,11.0,10.0,4.0,10.0,9.0,10.0,5.0,13.0,5.0,0.7835420393559929,0.38461538461538464,0.3,0.061563519100000005,0.061563519100000005,0.35294117647058826,0.11538461538461539,-0.8383227566000001,-0.8383227566000001,-11.0,-71.0,8.0,-7.0
