draw_inflation,goal_profile_weight,decision_threshold,decision_max_win_prob_gap,matches,log_loss,brier_score,accuracy,top_probability_accuracy,top_probability_predicted_draws,predicted_draws,actual_draws,decision_accuracy,draw_recall,draw_precision,non_draw_accuracy
1.65,0.35,0.28,0.15,7952.0,0.9321932506184722,0.5339150994483964,0.5934356136820925,0.5934356136820925,730.0,881.0,1837.0,0.5896629778672032,0.1437125748502994,0.2996594778660613,0.723630417007359
1.65,0.35,0.3,0.12,7952.0,0.9321932506184722,0.5339150994483964,0.5934356136820925,0.5934356136820925,730.0,803.0,1837.0,0.5904175050301811,0.1317365269461078,0.3013698630136986,0.7282093213409648
1.65,0.35,0.3,0.15,7952.0,0.9321932506184722,0.5339150994483964,0.5934356136820925,0.5934356136820925,730.0,881.0,1837.0,0.5896629778672032,0.1437125748502994,0.2996594778660613,0.723630417007359
1.5,0.35,0.28,0.12,7952.0,0.9326411603277585,0.5355813249741687,0.5977112676056338,0.5977112676056338,463.0,687.0,1837.0,0.5915492957746479,0.11213935764833968,0.29985443959243085,0.73556827473426
1.5,0.35,0.28,0.15,7952.0,0.9326411603277585,0.5355813249741687,0.5977112676056338,0.5977112676056338,463.0,825.0,1837.0,0.591172032193159,0.1366358192705498,0.30424242424242426,0.7277187244480785
1.5,0.35,0.3,0.12,7952.0,0.9326411603277585,0.5355813249741687,0.5977112676056338,0.5977112676056338,463.0,684.0,1837.0,0.5916750503018109,0.1115949918345128,0.2997076023391813,0.7358953393295176
1.5,0.35,0.3,0.15,7952.0,0.9326411603277585,0.5355813249741687,0.5977112676056338,0.5977112676056338,463.0,822.0,1837.0,0.591297786720322,0.1360914534567229,0.30413625304136255,0.7280457890433361
1.2,0.2,0.28,0.12,7952.0,0.9335321907092919,0.5403976814902888,0.6007293762575453,0.6007293762575453,0.0,667.0,1837.0,0.5934356136820925,0.1115949918345128,0.3073463268365817,0.7381847914963205
1.2,0.2,0.28,0.15,7952.0,0.9335321907092919,0.5403976814902888,0.6007293762575453,0.6007293762575453,0.0,826.0,1837.0,0.5905432595573441,0.1360914534567229,0.3026634382566586,0.7270645952575634
1.2,0.2,0.3,0.12,7952.0,0.9335321907092919,0.5403976814902888,0.6007293762575453,0.6007293762575453,0.0,602.0,1837.0,0.5960764587525151,0.1050626020685901,0.32059800664451826,0.7435813573180703
1.2,0.2,0.3,0.15,7952.0,0.9335321907092919,0.5403976814902888,0.6007293762575453,0.6007293762575453,0.0,743.0,1837.0,0.5935613682092555,0.12738160043549265,0.3149394347240915,0.7336058871627147
1.35,0.35,0.28,0.12,7952.0,0.9348315888851074,0.5383036661291735,0.6008551307847082,0.6008551307847082,174.0,655.0,1837.0,0.5924295774647887,0.10615133369624388,0.29770992366412213,0.7385118560915781
