class_label,class_name,feature,coefficient
0,team_a_win,injured_mf_count_diff,0.00090141445566093
0,team_a_win,injured_mf_market_value_diff,0.07996461675662818
0,team_a_win,injured_fw_count_diff,-0.018233871186943765
0,team_a_win,injured_fw_market_value_diff,0.05171086899657502
0,team_a_win,elo_team_a_win_prob,0.04198446842408403
0,team_a_win,elo_draw_prob,0.01620645466465256
0,team_a_win,elo_team_b_win_prob,-0.045229128646631034
0,team_a_win,tournament_type_continental,0.03264570510065619
0,team_a_win,tournament_type_default,0.004051861070571209
0,team_a_win,tournament_type_friendly,-0.029782707083900094
0,team_a_win,tournament_type_qualifier,0.015565648776168776
0,team_a_win,tournament_type_world_cup,0.0014981310144951932
1,draw,neutral,0.00489767523034363
1,draw,team_a_pre_elo,-0.11606620293647064
1,draw,team_b_pre_elo,-0.11607138900662946
1,draw,elo_diff,5.7413070604645656e-06
1,draw,team_a_prediction_elo,0.12816793341271118
1,draw,team_b_prediction_elo,0.12816266578541397
1,draw,prediction_elo_diff,5.7413070604645656e-06
1,draw,adjusted_elo_diff,5.431997143120311e-06
1,draw,abs_adjusted_elo_diff,-0.15517872686850087
1,draw,close_elo_gap_50,-0.004973583101777801
1,draw,close_elo_gap_100,-0.02974201811753272
1,draw,close_elo_gap_150,0.0053737755166353655
1,draw,team_a_home_advantage,-0.0023121681562159094
1,draw,team_b_home_advantage,-0.0023098019085438896
1,draw,team_a_recent_win_rate_5,-0.08746204177059695
1,draw,team_b_recent_win_rate_5,-0.08746767742778848
1,draw,team_a_recent_win_rate_10,0.05250166916697563
1,draw,team_b_recent_win_rate_10,0.0524938888290723
1,draw,recent_win_rate_diff_5,4.235279338241234e-06
1,draw,recent_win_rate_diff_10,5.949816394322964e-06
1,draw,team_a_avg_goals_for_last_5,0.01709800096108089
1,draw,team_b_avg_goals_for_last_5,0.017094363632365127
1,draw,team_a_avg_goals_against_last_5,-0.012191960304141403
1,draw,team_b_avg_goals_against_last_5,-0.012188132759959815
1,draw,team_a_avg_goals_for_last_10,-0.025056668770861802
1,draw,team_b_avg_goals_for_last_10,-0.025062054588193296
1,draw,team_a_avg_goals_against_last_10,-0.008780991325680594
1,draw,team_b_avg_goals_against_last_10,-0.008776924531620642
1,draw,avg_goals_for_diff_5,2.814474703782463e-06
1,draw,avg_goals_for_diff_10,4.249516889641775e-06
