feature_profile,max_iter,learning_rate,max_leaf_nodes,l2_regularization,class_weight,draw_probability_multiplier,calibration_temperature,validation_accuracy,pooled_validation_accuracy,validation_log_loss,selected
baseline_no_market,80,0.03,15,5.0,0:1;1:1.05;2:1,1.1,1.0,0.5886895092339262,0.6154776299879081,0.9247147853193511,False
baseline_no_market,80,0.03,15,5.0,0:1;1:1.05;2:1,1.1,1.15,0.5886895092339262,0.6154776299879081,0.9285274820435061,False
baseline_no_market,80,0.03,15,5.0,0:1;1:1.05;2:1,1.1,1.3,0.5886895092339262,0.6154776299879081,0.9346777587090649,False
baseline_no_market,80,0.03,15,5.0,0:1;1:1.05;2:1,1.1,1.5,0.5886895092339262,0.6154776299879081,0.9441366098583474,False
baseline_no_market,80,0.03,15,5.0,0:1;1:1.05;2:1,1.15,0.85,0.5819030010259918,0.6178960096735188,0.9274360549389434,False
baseline_no_market,80,0.03,15,5.0,0:1;1:1.05;2:1,1.15,1.0,0.5819030010259918,0.6178960096735188,0.9263081682027952,False
baseline_no_market,80,0.03,15,5.0,0:1;1:1.05;2:1,1.15,1.15,0.5819030010259918,0.6178960096735188,0.9302954306975981,False
baseline_no_market,80,0.03,15,5.0,0:1;1:1.05;2:1,1.15,1.3,0.5819030010259918,0.6178960096735188,0.9365094160914148,False
baseline_no_market,80,0.03,15,5.0,0:1;1:1.05;2:1,1.15,1.5,0.5819030010259918,0.6178960096735188,0.9459652872230823,False
baseline_no_market,80,0.03,15,5.0,0:1;1:1.05;2:1,1.2,0.85,0.585125256497948,0.6160822249093107,0.9290444366991784,False
baseline_no_market,80,0.03,15,5.0,0:1;1:1.05;2:1,1.2,1.0,0.585125256497948,0.6160822249093107,0.9281754922627952,False
baseline_no_market,80,0.03,15,5.0,0:1;1:1.05;2:1,1.2,1.15,0.585125256497948,0.6160822249093107,0.932254983023063,False
baseline_no_market,80,0.03,15,5.0,0:1;1:1.05;2:1,1.2,1.3,0.585125256497948,0.6160822249093107,0.9384770022835032,False
baseline_no_market,80,0.03,15,5.0,0:1;1:1.05;2:1,1.2,1.5,0.585125256497948,0.6160822249093107,0.947880612793162,False
context_no_market,80,0.04,7,1.0,none,0.85,0.85,0.5856382523939808,0.6178960096735188,0.9306545028019441,False
context_no_market,80,0.04,7,1.0,none,0.85,1.0,0.5856382523939808,0.6178960096735188,0.9234443957635666,False
context_no_market,80,0.04,7,1.0,none,0.85,1.15,0.5856382523939808,0.6178960096735188,0.9238753374852373,False
context_no_market,80,0.04,7,1.0,none,0.85,1.3,0.5856382523939808,0.6178960096735188,0.9279842243641676,False
context_no_market,80,0.04,7,1.0,none,0.85,1.5,0.5856382523939808,0.6178960096735188,0.9359258378330583,False
context_no_market,80,0.04,7,1.0,none,0.95,0.85,0.585296255129959,0.6166868198307134,0.927469652673312,False
context_no_market,80,0.04,7,1.0,none,0.95,1.0,0.585296255129959,0.6166868198307134,0.922676918511679,False
context_no_market,80,0.04,7,1.0,none,0.95,1.15,0.585296255129959,0.6166868198307134,0.9245494857259707,False
context_no_market,80,0.04,7,1.0,none,0.95,1.3,0.585296255129959,0.6166868198307134,0.9295401791868778,False
context_no_market,80,0.04,7,1.0,none,0.95,1.5,0.585296255129959,0.6166868198307134,0.9381576784908165,False
context_no_market,80,0.04,7,1.0,none,1.0,0.85,0.5856382523939808,0.6178960096735188,0.9268957338043312,False
context_no_market,80,0.04,7,1.0,none,1.0,1.0,0.5856382523939808,0.6178960096735188,0.9230140179960724,False
context_no_market,80,0.04,7,1.0,none,1.0,1.15,0.5856382523939808,0.6178960096735188,0.9254087340963579,False
context_no_market,80,0.04,7,1.0,none,1.0,1.3,0.5856382523939808,0.6178960096735188,0.9307026593433123,False
context_no_market,80,0.04,7,1.0,none,1.0,1.5,0.5856382523939808,0.6178960096735188,0.9395332987177603,False
context_no_market,80,0.04,7,1.0,none,1.05,0.85,0.589202505129959,0.6172914147521161,0.9268967357450717,False
context_no_market,80,0.04,7,1.0,none,1.05,1.0,0.589202505129959,0.6172914147521161,0.9237537938394602,False
context_no_market,80,0.04,7,1.0,none,1.05,1.15,0.589202505129959,0.6172914147521161,0.9265568254886276,False
context_no_market,80,0.04,7,1.0,none,1.05,1.3,0.589202505129959,0.6172914147521161,0.9320757047839279,False
context_no_market,80,0.04,7,1.0,none,1.05,1.5,0.589202505129959,0.6172914147521161,0.9410490379670177,False
context_no_market,80,0.04,7,1.0,none,1.1,0.85,0.585296255129959,0.6166868198307134,0.9274084361637628,False
context_no_market,80,0.04,7,1.0,none,1.1,1.0,0.585296255129959,0.6166868198307134,0.9248486098851686,False
context_no_market,80,0.04,7,1.0,none,1.1,1.15,0.585296255129959,0.6166868198307134,0.92795776457459,False
context_no_market,80,0.04,7,1.0,none,1.1,1.3,0.585296255129959,0.6166868198307134,0.93363169474059,False
context_no_market,80,0.04,7,1.0,none,1.1,1.5,0.585296255129959,0.6166868198307134,0.9426851280068383,False
context_no_market,80,0.04,7,1.0,none,1.15,0.85,0.5767997606019152,0.6130592503022975,0.9283753426799243,False
context_no_market,80,0.04,7,1.0,none,1.15,1.0,0.5767997606019152,0.6130592503022975,0.9262575778314238,False
context_no_market,80,0.04,7,1.0,none,1.15,1.15,0.5767997606019152,0.6130592503022975,0.9295808222013334,False
context_no_market,80,0.04,7,1.0,none,1.15,1.3,0.5767997606019152,0.6130592503022975,0.9353471622859992,False
context_no_market,80,0.04,7,1.0,none,1.15,1.5,0.5767997606019152,0.6130592503022975,0.9444248742499806,False
context_no_market,80,0.04,7,1.0,none,1.2,0.85,0.573406506497948,0.6142684401451027,0.9297492209983594,False
context_no_market,80,0.04,7,1.0,none,1.2,1.0,0.573406506497948,0.6142684401451027,0.9279453868781475,False
context_no_market,80,0.04,7,1.0,none,1.2,1.15,0.573406506497948,0.6142684401451027,0.9313996015661012,False
context_no_market,80,0.04,7,1.0,none,1.2,1.3,0.573406506497948,0.6142684401451027,0.9372020440534429,False
context_no_market,80,0.04,7,1.0,none,1.2,1.5,0.573406506497948,0.6142684401451027,0.9462540886357034,False
context_no_market,120,0.03,7,1.0,none,0.85,0.85,0.5825869955540356,0.6203143893591294,0.9322500713829193,False
context_no_market,120,0.03,7,1.0,none,0.85,1.0,0.5825869955540356,0.6203143893591294,0.9238238325795477,False
context_no_market,120,0.03,7,1.0,none,0.85,1.15,0.5825869955540356,0.6203143893591294,0.9234247209903418,False
context_no_market,120,0.03,7,1.0,none,0.85,1.3,0.5825869955540356,0.6203143893591294,0.9269677235699996,False
context_no_market,120,0.03,7,1.0,none,0.85,1.5,0.5825869955540356,0.6203143893591294,0.9344266798144449,False
context_no_market,120,0.03,7,1.0,none,0.95,0.85,0.5863222469220246,0.6203143893591294,0.9291077118245655,False
context_no_market,120,0.03,7,1.0,none,0.95,1.0,0.5863222469220246,0.6203143893591294,0.9230739535014387,False
context_no_market,120,0.03,7,1.0,none,0.95,1.15,0.5863222469220246,0.6203143893591294,0.9241047574480978,False
context_no_market,120,0.03,7,1.0,none,0.95,1.3,0.5863222469220246,0.6203143893591294,0.9285242155921588,False
context_no_market,120,0.03,7,1.0,none,0.95,1.5,0.5863222469220246,0.6203143893591294,0.9366564376736797,False
context_no_market,120,0.03,7,1.0,none,1.0,0.85,0.5863222469220246,0.6203143893591294,0.9285509955932305,False
context_no_market,120,0.03,7,1.0,none,1.0,1.0,0.5863222469220246,0.6203143893591294,0.9234173378430857,False
context_no_market,120,0.03,7,1.0,none,1.0,1.15,0.5863222469220246,0.6203143893591294,0.9249653753714723,False
context_no_market,120,0.03,7,1.0,none,1.0,1.3,0.5863222469220246,0.6203143893591294,0.9296859629215768,False
context_no_market,120,0.03,7,1.0,none,1.0,1.5,0.5863222469220246,0.6203143893591294,0.938030450756945,False
context_no_market,120,0.03,7,1.0,none,1.05,0.85,0.5822449982900137,0.619105199516324,0.928566688800124,False
context_no_market,120,0.03,7,1.0,none,1.05,1.0,0.5822449982900137,0.619105199516324,0.9241618753796251,False
context_no_market,120,0.03,7,1.0,none,1.05,1.15,0.5822449982900137,0.619105199516324,0.9261138999125672,False
context_no_market,120,0.03,7,1.0,none,1.05,1.3,0.5822449982900137,0.619105199516324,0.9310576889354147,False
context_no_market,120,0.03,7,1.0,none,1.05,1.5,0.5822449982900137,0.619105199516324,0.939544257198345,False
context_no_market,120,0.03,7,1.0,none,1.1,0.85,0.5783387482900137,0.6185006045949214,0.9290907009546266,False
context_no_market,120,0.03,7,1.0,none,1.1,1.0,0.5783387482900137,0.6185006045949214,0.9252600335331549,False
context_no_market,120,0.03,7,1.0,none,1.1,1.15,0.5783387482900137,0.6185006045949214,0.9275144102177513,False
