rank,date,phase,match,team_a_win_prob,draw_prob,team_b_win_prob,win_prob_gap,predicted_outcome,actual_outcome
37,2022-11-29,Group,Qatar vs Netherlands,0.1754465463163064,0.2749887796768678,0.5495646740068257,0.37411812769051933,Team B win,Team B win
38,2022-12-02,Group,South Korea vs Portugal,0.2121380816460067,0.274619904760762,0.5132420135932314,0.30110393194722473,Team B win,Team A win
39,2022-11-22,Group,France vs Australia,0.5632087900302495,0.2741213292159172,0.1626698807538334,0.4005389092764161,Team A win,Team A win
40,2022-11-27,Group,Japan vs Costa Rica,0.506427083582893,0.2725889359887715,0.2209839804283354,0.2854431031545576,Team A win,Team B win
41,2022-11-30,Group,Saudi Arabia vs Mexico,0.2231267874660363,0.2699998188927426,0.506873393641221,0.28374660617518466,Team B win,Team B win
42,2022-11-27,Group,Belgium vs Morocco,0.5205093340229823,0.2674885571913237,0.2120021087856941,0.3085072252372882,Team A win,Team B win
43,2022-11-23,Group,Belgium vs Canada,0.5185532931182378,0.2659039072704342,0.215542799611328,0.30301049350690984,Team A win,Team A win
44,2022-11-23,Group,Spain vs Costa Rica,0.5599523973805082,0.2654414813892304,0.1746061212302613,0.38534627615024686,Team A win,Team A win
45,2022-11-21,Group,England vs Iran,0.5026542582769348,0.2647892874115746,0.2325564543114906,0.27009780396544414,Team A win,Team A win
46,2022-11-24,Group,Switzerland vs Cameroon,0.5546268297927394,0.2638431916660745,0.1815299785411861,0.37309685125155323,Team A win,Team A win
47,2022-12-01,Group,Costa Rica vs Germany,0.2564643583748889,0.2612673139664043,0.4822683276587068,0.2258039692838179,Team B win,Team B win
48,2022-11-28,Group,Brazil vs Switzerland,0.5796118758243458,0.2595284909461612,0.1608596332294928,0.418752242594853,Team A win,Team A win
49,2022-12-10,Knockout,Morocco vs Portugal,0.1691333516363538,0.2557285898893255,0.5751380584743206,0.40600470683796686,Team B win,Team A win
50,2022-11-28,Group,Cameroon vs Serbia,0.1592163946632325,0.2494502735154872,0.5913333318212802,0.4321169371580477,Team B win,Draw
51,2022-12-13,Knockout,Argentina vs Croatia,0.5435647898594023,0.2489920754064909,0.2074431347341068,0.33612165512529546,Team A win,Team A win
52,2022-11-25,Group,England vs United States,0.5143669067976749,0.2456912501570597,0.2399418430452654,0.27442506375240955,Team A win,Draw
53,2022-11-23,Group,Germany vs Japan,0.4481434826619497,0.243466805357267,0.3083897119807833,0.1397537706811664,Team A win,Team B win
54,2022-11-24,Group,Uruguay vs South Korea,0.5471858516010195,0.2424210509437064,0.2103930974552741,0.3367927541457454,Team A win,Draw
55,2022-11-30,Group,Poland vs Argentina,0.1648167050714739,0.2398760989613124,0.5953071959672136,0.4304904908957397,Team B win,Team B win
56,2022-12-01,Group,Japan vs Spain,0.2274040673305919,0.2303649973585709,0.5422309353108372,0.3148268679802453,Team B win,Team A win
57,2022-12-02,Group,Ghana vs Uruguay,0.1549979135713115,0.2281657461723207,0.6168363402563678,0.46183842668505626,Team B win,Team B win
58,2022-11-24,Group,Portugal vs Ghana,0.6373834144852839,0.2247139533179494,0.1379026321967667,0.4994807822885172,Team A win,Team A win
59,2022-11-26,Group,Argentina vs Mexico,0.6218319766239024,0.2214162353648056,0.1567517880112919,0.4650801886126106,Team A win,Team A win
60,2022-12-05,Knockout,Brazil vs South Korea,0.6967072333010527,0.2097947473334636,0.0934980193654837,0.6032092139355689,Team A win,Team A win
61,2022-11-21,Group,Senegal vs Netherlands,0.1514902414896026,0.209231642519152,0.6392781159912454,0.4877878745016428,Team B win,Team B win
62,2022-12-02,Group,Cameroon vs Brazil,0.1482607406328481,0.1966907001717777,0.6550485591953741,0.506787818562526,Team B win,Team A win
63,2022-11-22,Group,Argentina vs Saudi Arabia,0.6975468839871759,0.1884326058958293,0.1140205101169948,0.5835263738701811,Team A win,Team B win
64,2022-12-03,Knockout,Argentina vs Australia,0.7759368539371977,0.1453711848206239,0.0786919612421784,0.6972448926950193,Team A win,Team A win
