team,elo
Zimbabwe,1518.3868227529265
Libya,1509.4538129209056
Curaçao,1507.0363117756986
Azerbaijan,1505.9650428368145
Sudan,1502.7890448869446
Madagascar,1496.5354876367592
Gambia,1496.3442965229185
Comoros,1488.3946456732638
Equatorial Guinea,1487.1849756003433
Togo,1484.895406895276
Rwanda,1482.1623913483
Niger,1481.8029052044571
Mauritania,1478.7811998497632
Estonia,1476.6976259946453
Trinidad and Tobago,1474.8308915117575
Suriname,1472.9709864894742
Malawi,1469.27639962933
Namibia,1454.3267500118434
Botswana,1450.7878118767858
Faroe Islands,1448.4118731933052
Indonesia,1443.282645604992
Lesotho,1434.832363695953
El Salvador,1432.0328329946167
Cyprus,1429.2662506192362
Kenya,1427.1755178880178
Tanzania,1426.043396812642
North Korea,1419.6669779088784
Liberia,1403.0769379432224
Sierra Leone,1402.134768360391
Lithuania,1391.022952362646
Ethiopia,1377.7300953299277
Kyrgyzstan,1366.0533619797654
Guinea-Bissau,1356.8528620123116
Central African Republic,1355.3809899819958
Thailand,1354.7297499356473
Burundi,1354.7188316538495
Nicaragua,1344.3342370294802
Lebanon,1338.3296552683466
Latvia,1329.059785563226
Vietnam,1323.4315973144928
Malaysia,1316.7952697186586
Moldova,1316.7799066221414
Malta,1308.4559469575836
Martinique,1308.1450894333886
Zanzibar,1306.4973083203645
Basque Country,1306.3880082974063
Eswatini,1302.37289039886
Bosnia-Herzegovina,1301.1435543205002
Congo,1286.658288888513
Jersey,1277.074182865292
Guadeloupe,1258.9268489163746
Tajikistan,1255.5780352719837
Guernsey,1225.642124126505
Isle of Man,1224.3388563088783
Dominican Republic,1198.6585990929916
Occitania,1191.5803388676488
Cuba,1190.559372417924
Guyana,1186.944779483723
Northern Cyprus,1186.4012343509235
South Sudan,1185.6620155130877
Padania,1166.759586312882
Ynys Môn,1166.0539434744526
Isle of Wight,1165.4937076135307
French Guiana,1163.7929502617135
Chad,1163.6825004368825
Catalonia,1152.8031814822868
Kárpátalja,1149.8877947358344
Turkmenistan,1145.403819025259
Iraqi Kurdistan,1145.1569395222753
Réunion,1142.1580972004977
New Caledonia,1141.095641390415
Philippines,1139.998659307138
Abkhazia,1133.704655844475
County of Nice,1115.187401021867
Mauritius,1114.2255670880206
Bermuda,1103.6080366428835
Panjab,1094.8760350169562
Artsakh,1087.1676117167508
India,1087.0720874349595
Ellan Vannin,1084.6152114842494
Corsica,1083.6267880131757
Mayotte,1078.8036286047018
Chameria,1077.2686238537617
Yorkshire,1065.6034854746933
Singapore,1065.0206775406423
Cascadia,1064.308371394606
Arameans Suryoye,1063.5237496016841
Yemen,1059.4595627274443
Shetland,1057.7701131656668
Tahiti,1040.9111312916098
Maule Sur,1036.8324584516383
Western Armenia,1034.8307792311844
Saint Vincent and the Grenadines,1029.174128534408
Menorca,1028.8858482526614
Gozo,1028.4863999809816
Hong Kong,1026.8718353509084
Galicia,1026.608363446306
Felvidék,1026.0330225061218
Donetsk PR,1022.8435111168105
Székely Land,1022.1914792962525
Andorra,1021.7844541888983
Brittany,1020.626671756478
Kernow,1019.7024106557876
Mapuche,1013.8393213891981
Parishes of Jersey,1013.4464195501818
Biafra,1013.350875843197
United Koreans in Japan,1011.8318198447303
Andalusia,1011.3985700742232
Papua New Guinea,1009.0991144924125
Rhodes,1009.0962708527785
South Ossetia,1006.8681614323308
Provence,1006.4767385373586
Cilento,1006.1996427621776
Puerto Rico,1004.1465088058429
São Tomé and Príncipe,1001.021721317491
Surrey,1000.6012352321562
Délvidék,996.8706132608932
Vanuatu,996.5598785109887
Orkney,995.6910000685234
Belize,995.5903859261517
Western Sahara,993.8128578534107
Elba Island,989.5801055420441
Fiji,989.0319806703501
Madrid,988.601429925777
Luhansk PR,987.5807938245467
Greenland,985.3856392964133
Sápmi,983.3942234956644
Tamil Eelam,982.972434639274
Saugeais,982.2550997740547
Seborga,981.6767974121888
Grenada,974.3021110121907
Monaco,973.8029710665809
Yoruba Nation,971.9101571797463
West Papua,969.7530897509782
Sealand,969.284514721783
Matabeleland,968.3691502510212
Ryūkyū,964.2416006580206
Romani people,962.8415269631495
Kabylia,962.263545116851
Somaliland,959.9132855078884
Somalia,955.8870243093658
Aymara,946.3947804495723
Gotland,946.1205838985695
Montserrat,945.1622581805029
Solomon Islands,943.54529507238
Djibouti,938.8195196930768
Åland Islands,938.5619563701874
Saare County,938.4911752531976
Western Isles,938.0509980238613
Saint Kitts and Nevis,933.262096496752
Franconia,931.4917786835327
Vatican City,926.4123524976882
Hitra,923.4032612038458
Two Sicilies,911.1055517858591
Afghanistan,908.1085821052454
Hmong,907.6635922930153
Myanmar,905.1742255173134
Raetia,897.2822228099495
Saint Lucia,894.6549162063545
Eritrea,894.0587576297442
Saint Martin,886.9246703098944
Gibraltar,886.2296529780607
Saint Barthélemy,884.5309087298086
Barawa,878.1980627122983
Sint Maarten,854.9775615311737
Kiribati,851.0565550499489
Tibet,847.7881791034723
Saint Pierre and Miquelon,844.6053266093264
Chagos Islands,843.2431972044533
Seychelles,831.2292059223732
Ticino,821.1854369366342
Aruba,811.7842637731658
Antigua and Barbuda,809.0124030733244
Darfur,799.5563598590609
Samoa,798.5866633257933
Saint Helena,792.9489603546217
Falkland Islands,789.9611675463254
Nepal,787.6572725330011
Dominica,786.7046546394083
Bangladesh,780.8251342255581
Taiwan,772.619565267724
Alderney,769.5008630137006
Tuvalu,764.7119102071192
Barbados,753.1660176732418
Bonaire,734.8116267576384
Frøya,727.2322794497693
Liechtenstein,726.5637009332486
Marshall Islands,712.3686413208512
Pakistan,704.8748433310112
Cambodia,692.6783288792492
Maldives,683.3289247710584
San Marino,683.1687253336518
Cook Islands,671.2521421259854
Cayman Islands,660.4697623454883
Guam,631.0531804441466
Mongolia,629.1388136963147
Sri Lanka,621.1400942475905
Laos,613.3096548335516
Tonga,610.7034189427415
British Virgin Islands,603.5602410934105
United States Virgin Islands,572.7653018358743
Brunei,550.1925564112761
Northern Mariana Islands,541.7021034042966
Timor-Leste,523.9807423844347
Bhutan,512.6352727751012
Turks and Caicos Islands,512.6332085280561
Bahamas,510.0733443017454
Macau,479.3303971681122
Anguilla,477.7915484630313
American Samoa,454.86390548457615
