group_shrinkage,knockout_shrinkage,rotation_strength,rotation_draw_share,validation_log_loss,validation_accuracy,selected
0.05,0.1,0.05,0.5,0.8617424144182481,0.607795172863666,False
0.05,0.1,0.1,0.25,0.8616743526690287,0.607795172863666,False
0.05,0.1,0.1,0.5,0.8616813437767911,0.607795172863666,False
0.05,0.1,0.15,0.25,0.8616133946268614,0.607795172863666,False
0.05,0.1,0.15,0.5,0.8616243845224807,0.607795172863666,False
0.05,0.1,0.2,0.25,0.861556196963308,0.607795172863666,False
0.05,0.1,0.2,0.5,0.8615715387158356,0.607795172863666,False
0.05,0.15,0.0,0.25,0.8618779504249003,0.607795172863666,False
0.05,0.15,0.0,0.5,0.8618779504249003,0.607795172863666,False
0.05,0.15,0.05,0.25,0.861809365051344,0.607795172863666,False
0.05,0.15,0.05,0.5,0.8618126967159687,0.607795172863666,False
0.05,0.15,0.1,0.25,0.8617446349667492,0.607795172863666,False
0.05,0.15,0.1,0.5,0.8617516260745116,0.607795172863666,False
0.05,0.15,0.15,0.25,0.8616836769245821,0.607795172863666,False
0.05,0.15,0.15,0.5,0.8616946668202015,0.607795172863666,False
0.05,0.15,0.2,0.25,0.8616264792610286,0.607795172863666,False
0.05,0.15,0.2,0.5,0.8616418210135562,0.607795172863666,False
0.1,0.0,0.0,0.25,0.8615117217989675,0.607795172863666,False
0.1,0.0,0.0,0.5,0.8615117217989675,0.607795172863666,False
0.1,0.0,0.05,0.25,0.8614459641418687,0.607795172863666,False
0.1,0.0,0.05,0.5,0.8614494476008462,0.607795172863666,False
0.1,0.0,0.1,0.25,0.8613842296263994,0.607795172863666,False
0.1,0.0,0.1,0.5,0.8613915169280328,0.607795172863666,False
0.1,0.0,0.15,0.25,0.8613264490030913,0.607795172863666,False
0.1,0.0,0.15,0.5,0.8613378703732636,0.607795172863666,False
0.1,0.0,0.2,0.25,0.8612726267091112,0.607795172863666,False
0.1,0.0,0.2,0.5,0.861288524142877,0.607795172863666,False
0.1,0.05,0.0,0.25,0.8615704107200881,0.607795172863666,False
0.1,0.05,0.0,0.5,0.8615704107200881,0.607795172863666,False
0.1,0.05,0.05,0.25,0.8615046530629895,0.607795172863666,False
0.1,0.05,0.05,0.5,0.8615081365219669,0.607795172863666,False
0.1,0.05,0.1,0.25,0.8614429185475202,0.607795172863666,False
0.1,0.05,0.1,0.5,0.8614502058491534,0.607795172863666,False
0.1,0.05,0.15,0.25,0.8613851379242119,0.607795172863666,False
0.1,0.05,0.15,0.5,0.8613965592943842,0.607795172863666,False
0.1,0.05,0.2,0.25,0.8613313156302319,0.607795172863666,False
0.1,0.05,0.2,0.5,0.8613472130639979,0.607795172863666,False
0.1,0.1,0.0,0.25,0.8616349639159625,0.607795172863666,False
0.1,0.1,0.0,0.5,0.8616349639159625,0.607795172863666,False
0.1,0.1,0.05,0.25,0.8615692062588638,0.607795172863666,False
0.1,0.1,0.05,0.5,0.8615726897178412,0.607795172863666,False
0.1,0.1,0.1,0.25,0.8615074717433945,0.607795172863666,False
0.1,0.1,0.1,0.5,0.861514759045028,0.607795172863666,False
0.1,0.1,0.15,0.25,0.8614496911200864,0.607795172863666,False
0.1,0.1,0.15,0.5,0.8614611124902587,0.607795172863666,False
0.1,0.1,0.2,0.25,0.8613958688261063,0.607795172863666,False
0.1,0.1,0.2,0.5,0.8614117662598721,0.607795172863666,False
0.1,0.15,0.0,0.25,0.8617052462136832,0.607795172863666,False
0.1,0.15,0.0,0.5,0.8617052462136832,0.607795172863666,False
0.1,0.15,0.05,0.25,0.8616394885565843,0.607795172863666,False
0.1,0.15,0.05,0.5,0.861642972015562,0.607795172863666,False
0.1,0.15,0.1,0.25,0.861577754041115,0.607795172863666,False
0.1,0.15,0.1,0.5,0.8615850413427485,0.607795172863666,False
