xg_strength,total_goal_strength,dixon_coles_rho,statsbomb_window,goal_profile_weight,matches,log_loss,brier_score,accuracy,top_probability_accuracy,top_probability_predicted_draws,predicted_draws,actual_draws,decision_accuracy,draw_recall,draw_precision,non_draw_accuracy,selected
0.0,0.5,-0.12,5,0.2,64.0,1.034928240630263,0.6068118731205762,0.5625,0.5625,0.0,2.0,13.0,0.53125,0.0,0.0,0.6666666666666666,False
0.25,0.5,0.0,3,0.35,64.0,1.0351317345078845,0.6101624809340316,0.5625,0.5625,0.0,0.0,13.0,0.5625,0.0,0.0,0.7058823529411765,False
0.25,0.25,0.0,3,0.35,64.0,1.0351778205934905,0.6097679049011188,0.5625,0.5625,0.0,0.0,13.0,0.5625,0.0,0.0,0.7058823529411765,False
0.0,0.25,-0.08,3,0.35,64.0,1.0352192129146305,0.6076858823181874,0.546875,0.546875,0.0,0.0,13.0,0.546875,0.0,0.0,0.6862745098039216,False
0.25,0.0,0.0,5,0.35,64.0,1.0353687717848052,0.6093862512185951,0.5625,0.5625,0.0,0.0,13.0,0.5625,0.0,0.0,0.7058823529411765,False
0.25,0.5,-0.04,3,0.2,64.0,1.0353911585696047,0.6098367958880323,0.5625,0.5625,0.0,0.0,13.0,0.5625,0.0,0.0,0.7058823529411765,False
0.25,0.0,0.0,3,0.35,64.0,1.0354515942525353,0.6094862035022784,0.5625,0.5625,0.0,0.0,13.0,0.5625,0.0,0.0,0.7058823529411765,False
0.25,0.25,-0.04,3,0.2,64.0,1.0356157211234773,0.6095402900307493,0.5625,0.5625,0.0,0.0,13.0,0.5625,0.0,0.0,0.7058823529411765,False
0.0,0.0,-0.08,3,0.35,64.0,1.035704399272288,0.6075253953746035,0.546875,0.546875,0.0,0.0,13.0,0.546875,0.0,0.0,0.6862745098039216,False
0.0,0.0,-0.08,5,0.35,64.0,1.035704399272288,0.6075253953746035,0.546875,0.546875,0.0,0.0,13.0,0.546875,0.0,0.0,0.6862745098039216,False
0.25,0.0,-0.04,5,0.2,64.0,1.0359673685982187,0.609239212522403,0.5625,0.5625,0.0,0.0,13.0,0.5625,0.0,0.0,0.7058823529411765,False
0.25,0.0,-0.04,3,0.2,64.0,1.036050380853375,0.6093614555173611,0.5625,0.5625,0.0,0.0,13.0,0.5625,0.0,0.0,0.7058823529411765,False
0.25,0.5,-0.04,5,0.35,64.0,1.0362615742092356,0.6092939867405556,0.5625,0.5625,0.0,0.0,13.0,0.5625,0.0,0.0,0.7058823529411765,False
0.0,0.25,-0.12,5,0.2,64.0,1.0363317658910354,0.6073160719971857,0.5625,0.5625,0.0,3.0,13.0,0.53125,0.0,0.0,0.6666666666666666,False
0.0,0.5,-0.12,3,0.2,64.0,1.0367781041481299,0.6081594637064887,0.5625,0.5625,0.0,3.0,13.0,0.53125,0.0,0.0,0.6666666666666666,False
0.25,0.5,-0.08,5,0.2,64.0,1.0370635001454358,0.6091080246719515,0.5625,0.5625,0.0,2.0,13.0,0.546875,0.0,0.0,0.6862745098039216,False
0.0,0.5,-0.12,5,0.35,64.0,1.0371645263373865,0.6074625431738677,0.546875,0.546875,0.0,1.0,13.0,0.546875,0.0,0.0,0.6862745098039216,False
0.0,0.25,-0.12,3,0.2,64.0,1.0372458703938467,0.6079908014430507,0.5625,0.5625,0.0,3.0,13.0,0.53125,0.0,0.0,0.6666666666666666,False
0.25,0.25,-0.04,5,0.35,64.0,1.037380380324517,0.6095841587142893,0.5625,0.5625,0.0,0.0,13.0,0.5625,0.0,0.0,0.7058823529411765,False
0.0,0.0,-0.12,3,0.2,64.0,1.037880792886143,0.6079369896614798,0.5625,0.5625,0.0,4.0,13.0,0.53125,0.0,0.0,0.6666666666666666,False
0.0,0.0,-0.12,5,0.2,64.0,1.037880792886143,0.6079369896614798,0.5625,0.5625,0.0,4.0,13.0,0.53125,0.0,0.0,0.6666666666666666,False
0.25,0.5,-0.04,3,0.35,64.0,1.0382462584487244,0.6106673595132401,0.5625,0.5625,0.0,0.0,13.0,0.5625,0.0,0.0,0.7058823529411765,False
0.25,0.25,-0.08,5,0.2,64.0,1.038347410240931,0.6095182365033789,0.5625,0.5625,0.0,1.0,13.0,0.5625,0.0,0.0,0.7058823529411765,False
0.25,0.25,-0.04,3,0.35,64.0,1.0383978251183497,0.6103317236259542,0.5625,0.5625,0.0,0.0,13.0,0.5625,0.0,0.0,0.7058823529411765,False
0.0,0.25,-0.12,5,0.35,64.0,1.038527154667888,0.6079269027618857,0.546875,0.546875,0.0,1.0,13.0,0.546875,0.0,0.0,0.6862745098039216,False
0.25,0.0,-0.04,5,0.35,64.0,1.03868151396276,0.6099940506817674,0.5625,0.5625,0.0,0.0,13.0,0.5625,0.0,0.0,0.7058823529411765,False
0.25,0.0,-0.04,3,0.35,64.0,1.038760432483795,0.6101077029416818,0.5625,0.5625,0.0,0.0,13.0,0.5625,0.0,0.0,0.7058823529411765,False
0.25,0.5,-0.08,3,0.2,64.0,1.0390287928116042,0.6105409945200989,0.5625,0.5625,0.0,2.0,13.0,0.546875,0.0,0.0,0.6862745098039216,False
0.0,0.5,-0.12,3,0.35,64.0,1.0390411357493043,0.6088085045997103,0.546875,0.546875,0.0,1.0,13.0,0.546875,0.0,0.0,0.6862745098039216,False
0.5,0.5,0.0,5,0.2,64.0,1.039281555467927,0.6126366824007097,0.5625,0.5625,0.0,0.0,13.0,0.5625,0.0,0.0,0.7058823529411765,False
0.25,0.25,-0.08,3,0.2,64.0,1.039356836468816,0.6103057118816198,0.5625,0.5625,0.0,2.0,13.0,0.546875,0.0,0.0,0.6862745098039216,False
0.0,0.25,-0.12,3,0.35,64.0,1.0394535200061,0.6086011974758279,0.546875,0.546875,0.0,1.0,13.0,0.546875,0.0,0.0,0.6862745098039216,False
0.25,0.0,-0.08,5,0.2,64.0,1.0397985969524508,0.6100493141754563,0.5625,0.5625,0.0,0.0,13.0,0.5625,0.0,0.0,0.7058823529411765,False
0.25,0.0,-0.08,3,0.2,64.0,1.0398770911770807,0.6101856372638201,0.5625,0.5625,0.0,1.0,13.0,0.5625,0.0,0.0,0.7058823529411765,False
0.25,0.5,-0.08,5,0.35,64.0,1.0399019706933414,0.6099224213865712,0.5625,0.5625,0.0,0.0,13.0,0.5625,0.0,0.0,0.7058823529411765,False
0.0,0.0,-0.12,3,0.35,64.0,1.0400345565613285,0.6085045459091597,0.546875,0.546875,0.0,3.0,13.0,0.546875,0.0,0.0,0.6862745098039216,False
0.0,0.0,-0.12,5,0.35,64.0,1.0400345565613285,0.6085045459091597,0.546875,0.546875,0.0,3.0,13.0,0.546875,0.0,0.0,0.6862745098039216,False
0.5,0.25,0.0,5,0.2,64.0,1.0403252975310289,0.6128645005233413,0.5625,0.5625,0.0,0.0,13.0,0.5625,0.0,0.0,0.7058823529411765,False
0.25,0.25,-0.08,5,0.35,64.0,1.0411344758400347,0.610291560303111,0.5625,0.5625,0.0,0.0,13.0,0.5625,0.0,0.0,0.7058823529411765,False
0.25,0.5,-0.12,5,0.2,64.0,1.0412339369592531,0.6099400543253748,0.5625,0.5625,0.0,3.0,13.0,0.53125,0.0,0.0,0.6666666666666666,False
0.5,0.5,0.0,3,0.2,64.0,1.0414528887200325,0.6140917370284533,0.5625,0.5625,0.0,0.0,13.0,0.5625,0.0,0.0,0.7058823529411765,False
0.5,0.25,0.0,3,0.2,64.0,1.041521025991638,0.6137212567518052,0.5625,0.5625,0.0,0.0,13.0,0.5625,0.0,0.0,0.7058823529411765,False
0.5,0.0,0.0,5,0.2,64.0,1.0415745936836087,0.6132191298348691,0.5625,0.5625,0.0,0.0,13.0,0.5625,0.0,0.0,0.7058823529411765,False
0.5,0.0,0.0,3,0.2,64.0,1.0418239069450064,0.6134665195095621,0.5625,0.5625,0.0,0.0,13.0,0.5625,0.0,0.0,0.7058823529411765,False
0.25,0.5,-0.08,3,0.35,64.0,1.0418917228189788,0.611342127624395,0.5625,0.5625,0.0,0.0,13.0,0.5625,0.0,0.0,0.7058823529411765,False
0.25,0.25,-0.08,3,0.35,64.0,1.0421529362744282,0.6110684887613327,0.5625,0.5625,0.0,0.0,13.0,0.5625,0.0,0.0,0.7058823529411765,False
0.5,0.5,-0.04,5,0.2,64.0,1.0424494282127177,0.6131113498541577,0.5625,0.5625,0.0,0.0,13.0,0.5625,0.0,0.0,0.7058823529411765,False
0.25,0.0,-0.08,5,0.35,64.0,1.0425330228364116,0.6107770667778505,0.5625,0.5625,0.0,1.0,13.0,0.578125,0.07692307692307693,1.0,0.7058823529411765,False
0.25,0.0,-0.08,3,0.35,64.0,1.0426076880076955,0.6109046808519648,0.5625,0.5625,0.0,1.0,13.0,0.578125,0.07692307692307693,1.0,0.7058823529411765,False
0.25,0.25,-0.12,5,0.2,64.0,1.0426297120775347,0.6104313888362177,0.5625,0.5625,0.0,3.0,13.0,0.53125,0.0,0.0,0.6666666666666666,False
0.5,0.5,0.0,5,0.35,64.0,1.042725466078946,0.6135751684058648,0.5625,0.5625,0.0,0.0,13.0,0.5625,0.0,0.0,0.7058823529411765,False
0.25,0.5,-0.12,3,0.2,64.0,1.0432033856627987,0.6114195742489298,0.5625,0.5625,0.0,3.0,13.0,0.53125,0.0,0.0,0.6666666666666666,False
0.5,0.25,-0.04,5,0.2,64.0,1.0435966276377495,0.6134125940933833,0.5625,0.5625,0.0,0.0,13.0,0.5625,0.0,0.0,0.7058823529411765,False
0.25,0.25,-0.12,3,0.2,64.0,1.0436393688894703,0.6112484401985637,0.5625,0.5625,0.0,3.0,13.0,0.53125,0.0,0.0,0.6666666666666666,False
0.5,0.25,0.0,5,0.35,64.0,1.04370144430064,0.6137608742706008,0.5625,0.5625,0.0,0.0,13.0,0.5625,0.0,0.0,0.7058823529411765,False
0.25,0.5,-0.12,5,0.35,64.0,1.0440853800261658,0.6107195324315932,0.5625,0.5625,0.0,2.0,13.0,0.578125,0.07692307692307693,0.5,0.7058823529411765,False
